Frame,Mg,NaCl
MG_15mM_1264_Box_50_run3_frame0034_SHL4,0.275294,0.37784
MG_15mM_1264_Box_50_run3_frame0034_SHL6,0.209352,0.307444
MG_15mM_1264_Box_50_run3_frame0035_SHL4,0.170868,0.362006
MG_15mM_1264_Box_50_run3_frame0035_SHL6,0.160908,0.26436
MG_15mM_1264_Box_50_run3_frame0036_SHL4,0.257092,0.444648
MG_15mM_1264_Box_50_run3_frame0036_SHL6,0.272314,0.274803
MG_15mM_1264_Box_50_run3_frame0037_SHL4,0.093483,0.335602
MG_15mM_1264_Box_50_run3_frame0037_SHL6,0.17158,0.397644
MG_15mM_1264_Box_50_run3_frame0038_SHL6,0.206528,0.274464
MG_15mM_1264_Box_50_run3_frame0039_SHL4,0.169191,0.370606
MG_15mM_1264_Box_50_run3_frame0041_SHL6,0.247892,0.291245
MG_15mM_1264_Box_50_run3_frame0042_SHL6,0.19875,0.29229
MG_15mM_1264_Box_50_run3_frame0043_SHL6,0.205565,0.331723
MG_15mM_1264_Box_50_run3_frame0044_SHL6,0.158571,0.308168
MG_15mM_1264_Box_50_run3_frame0047_SHL6,0.24146,0.265009
MG_15mM_1264_Box_50_run3_frame0049_SHL6,0.135786,0.283467
MG_15mM_1264_Box_50_run3_frame0050_SHL6,0.24743,0.389363
MG_15mM_1264_Box_50_run3_frame0052_SHL6,0.254917,0.355627
MG_15mM_1264_Box_50_run3_frame0056_SHL6,0.24448,0.318287
MG_15mM_1264_Box_50_run3_frame0057_SHL6,0.200875,0.32991
MG_15mM_1264_Box_50_run3_frame0058_SHL6,0.261728,0.416569
MG_15mM_1264_Box_50_run3_frame0059_SHL6,0.389638,0.502843
MG_15mM_1264_Box_50_run3_frame0060_SHL6,0.262855,0.298623
MG_15mM_1264_Box_50_run3_frame0061_SHL6,0.161827,0.324988
MG_15mM_1264_Box_50_run3_frame0062_SHL6,0.274743,0.311195
MG_15mM_1264_Box_50_run3_frame0063_SHL6,0.276581,0.314301
MG_15mM_1264_Box_50_run3_frame0066_SHL6,0.302429,0.335335
MG_15mM_1264_Box_50_run3_frame0067_SHL6,0.185519,0.38717
MG_15mM_1264_Box_50_run3_frame0074_SHL6,0.362041,0.298661
MG_15mM_1264_Box_50_run3_frame0075_SHL6,0.031481,0.178072
MG_15mM_1264_Box_50_run3_frame0076_SHL2,0.180389,0.230778
MG_15mM_1264_Box_50_run3_frame0076_SHL6,0.183408,0.360297
MG_15mM_1264_Box_50_run3_frame0077_SHL6,0.271925,0.312919
MG_15mM_1264_Box_50_run3_frame0078_SHL6,0.291138,0.304222
MG_15mM_1264_Box_50_run3_frame0079_SHL6,0.159862,0.316254
MG_15mM_1264_Box_50_run3_frame0080_SHL6,0.082475,0.163582
MG_15mM_1264_Box_50_run3_frame0081_SHL2,0.340249,0.309012
MG_15mM_1264_Box_50_run3_frame0081_SHL6,0.048357,0.152734
MG_15mM_1264_Box_50_run3_frame0083_SHL2,0.403857,0.475336
MG_15mM_1264_Box_50_run3_frame0083_SHL6,0.091576,0.143173
MG_15mM_1264_Box_50_run3_frame0084_SHL2,-0.005881,0.220261
MG_15mM_1264_Box_50_run3_frame0089_SHL2,0.072399,0.156851
MG_15mM_1264_Box_50_run3_frame0091_SHL2,0.15944,0.248331
MG_15mM_1264_Box_50_run3_frame0091_SHL6,0.014866,0.10207
MG_15mM_1264_Box_50_run3_frame0092_SHL2,0.246781,0.33275
MG_15mM_1264_Box_50_run3_frame0093_SHL6,0.333959,0.399894
MG_15mM_1264_Box_50_run3_frame0097_SHL6,0.062315,0.169862
MG_15mM_1264_Box_50_run3_frame0098_SHL2,0.281752,0.365585
MG_15mM_1264_Box_50_run3_frame0099_SHL6,0.162074,0.240016
MG_15mM_1264_Box_50_run3_frame0100_SHL6,0.155197,0.271719
MG_15mM_1264_Box_50_run3_frame0101_SHL6,0.272459,0.271016
MG_15mM_1264_Box_50_run3_frame0102_SHL6,0.172902,0.265309
MG_15mM_1264_Box_50_run3_frame0103_SHL6,0.203304,0.260266
MG_15mM_1264_Box_50_run3_frame0104_SHL6,0.179595,0.253678
MG_15mM_1264_Box_50_run3_frame0105_SHL6,0.280258,0.341722
MG_15mM_1264_Box_50_run3_frame0106_SHL6,0.046962,0.151602
MG_15mM_1264_Box_50_run3_frame0112_SHL2,0.245329,0.399988
MG_15mM_1264_Box_50_run3_frame0117_SHL6,0.257658,0.310435
MG_15mM_1264_Box_50_run3_frame0120_SHL6,0.214696,0.272564
MG_15mM_1264_Box_50_run3_frame0121_SHL6,0.265649,0.368067
MG_15mM_1264_Box_50_run3_frame0122_SHL6,0.179604,0.319199
MG_15mM_1264_Box_50_run3_frame0123_SHL6,0.187073,0.277158
MG_15mM_1264_Box_50_run3_frame0124_SHL6,0.166754,0.205865
MG_15mM_1264_Box_50_run3_frame0125_SHL6,0.151942,0.188542
MG_15mM_1264_Box_50_run3_frame0133_SHL6,0.186682,0.209836
MG_15mM_1264_Box_50_run3_frame0155_SHL6,0.178162,0.216434
MG_15mM_1264_Box_50_run3_frame0156_SHL6,0.223697,0.261296
MG_15mM_1264_Box_50_run3_frame0158_SHL6,0.296261,0.251638
MG_15mM_1264_Box_50_run3_frame0160_SHL6,0.055377,0.103442
MG_15mM_1264_Box_50_run3_frame0208_SHL2,0.121105,0.175369
MG_15mM_1264_Box_50_run3_frame0212_SHL6,0.177017,0.252629
MG_15mM_1264_Box_50_run3_frame0214_SHL2,0.059523,0.140168
MG_15mM_1264_Box_50_run3_frame0217_SHL2,0.126607,0.217958
MG_15mM_1264_Box_50_run3_frame0218_SHL2,0.135215,0.219441
MG_15mM_1264_Box_50_run3_frame0221_SHL2,0.16616,0.227776
MG_15mM_1264_Box_50_run3_frame0221_SHL6,0.193593,0.221935
MG_15mM_1264_Box_50_run3_frame0222_SHL6,0.157372,0.193727
MG_15mM_1264_Box_50_run3_frame0225_SHL2,0.211276,0.263016
MG_15mM_1264_Box_50_run3_frame0225_SHL4,0.130152,0.215987
MG_15mM_1264_Box_50_run3_frame0226_SHL4,0.19996,0.233193
MG_15mM_1264_Box_50_run3_frame0226_SHL6,0.147521,0.184871
MG_15mM_1264_Box_50_run3_frame0227_SHL2,0.154484,0.360123
MG_15mM_1264_Box_50_run3_frame0230_SHL2,0.097115,0.210004
MG_15mM_1264_Box_50_run3_frame0232_SHL2,0.141932,0.195411
MG_15mM_1264_Box_50_run3_frame0232_SHL6,0.16371,0.261618
MG_15mM_1264_Box_50_run3_frame0235_SHL2,0.173777,0.242383
MG_15mM_1264_Box_50_run3_frame0238_SHL2,0.089175,0.285264
MG_15mM_1264_Box_50_run3_frame0241_SHL2,0.13048,0.343592
MG_15mM_1264_Box_50_run3_frame0242_SHL2,0.063441,0.236283
MG_15mM_1264_Box_50_run3_frame0244_SHL2,0.069717,0.324395
MG_15mM_1264_Box_50_run3_frame0246_SHL2,0.076185,0.173454
MG_15mM_1264_Box_50_run3_frame0247_SHL2,0.027722,0.224879
MG_15mM_1264_Box_50_run3_frame0248_SHL2,0.006293,0.147409
MG_15mM_1264_Box_50_run3_frame0255_SHL2,0.341025,0.330011
MG_15mM_1264_Box_50_run3_frame0257_SHL2,0.171029,0.220207
MG_15mM_1264_Box_50_run3_frame0257_SHL6,0.10866,0.255036
MG_15mM_1264_Box_50_run3_frame0260_SHL6,0.140731,0.326104
MG_15mM_1264_Box_50_run3_frame0261_SHL4,0.002517,0.285135
MG_15mM_1264_Box_50_run3_frame0263_SHL2,0.097469,0.149947
MG_15mM_1264_Box_50_run3_frame0265_SHL6,0.047273,0.29577
MG_15mM_1264_Box_50_run3_frame0266_SHL2,0.185733,0.306177
MG_15mM_1264_Box_50_run3_frame0266_SHL4,0.160877,0.404554
MG_15mM_1264_Box_50_run3_frame0267_SHL2,0.137408,0.295438
MG_15mM_1264_Box_50_run3_frame0273_SHL2,0.193862,0.192721
MG_15mM_1264_Box_50_run3_frame0274_SHL2,0.150369,0.19405
MG_15mM_1264_Box_50_run3_frame0277_SHL2,0.005352,0.22881
MG_15mM_1264_Box_50_run3_frame0278_SHL2,0.080812,0.206834
MG_15mM_1264_Box_50_run3_frame0279_SHL2,0.162382,0.249405
MG_15mM_1264_Box_50_run3_frame0279_SHL4,0.255584,0.371933
MG_15mM_1264_Box_50_run3_frame0282_SHL4,0.107082,0.193156
MG_15mM_1264_Box_50_run3_frame0283_SHL2,0.288445,0.403211
MG_15mM_1264_Box_50_run3_frame0283_SHL4,0.236824,0.329337
MG_15mM_1264_Box_50_run3_frame0284_SHL4,0.25749,0.258172
MG_15mM_1264_Box_50_run3_frame0285_SHL2,0.172094,0.263899
MG_15mM_1264_Box_50_run3_frame0286_SHL2,0.097007,0.231775
MG_15mM_1264_Box_50_run3_frame0288_SHL2,0.182009,0.265706
MG_15mM_1264_Box_50_run3_frame0289_SHL4,0.389172,0.378362
MG_15mM_1264_Box_50_run3_frame0291_SHL2,0.069447,0.241254
MG_15mM_1264_Box_50_run3_frame0292_SHL2,0.119836,0.191628
MG_15mM_1264_Box_50_run3_frame0293_SHL2,0.230128,0.369447
MG_15mM_1264_Box_50_run3_frame0294_SHL2,0.210656,0.230003
MG_15mM_1264_Box_50_run3_frame0296_SHL2,0.117769,0.215509
MG_15mM_1264_Box_50_run3_frame0297_SHL2,0.174619,0.226929
MG_15mM_1264_Box_50_run3_frame0298_SHL2,0.14562,0.28343
MG_15mM_1264_Box_50_run3_frame0298_SHL4,0.206028,0.279168
MG_15mM_1264_Box_50_run3_frame0299_SHL4,0.13198,0.261666
MG_15mM_1264_Box_50_run3_frame0304_SHL2,0.139217,0.228112
MG_15mM_1264_Box_50_run3_frame0305_SHL2,0.19031,0.289004
MG_15mM_1264_Box_50_run3_frame0305_SHL4,0.083456,0.205242
MG_15mM_1264_Box_50_run3_frame0306_SHL2,0.197682,0.310101
MG_15mM_1264_Box_50_run3_frame0306_SHL4,0.202907,0.237582
MG_15mM_1264_Box_50_run3_frame0308_SHL2,0.135981,0.166696
MG_15mM_1264_Box_50_run3_frame0308_SHL6,0.109621,0.172557
MG_15mM_1264_Box_50_run3_frame0312_SHL2,0.230284,0.299646
MG_15mM_1264_Box_50_run3_frame0314_SHL4,0.179705,0.195676
MG_15mM_1264_Box_50_run3_frame0319_SHL6,0.212187,0.259006
MG_15mM_1264_Box_50_run3_frame0321_SHL4,0.27518,0.208611
MG_15mM_1264_Box_50_run3_frame0331_SHL6,0.141408,0.22607
MG_15mM_1264_Box_50_run3_frame0332_SHL6,0.194573,0.209962
MG_15mM_1264_Box_50_run3_frame0336_SHL6,0.09598,0.161138
MG_15mM_1264_Box_50_run3_frame0339_SHL6,0.145312,0.224528
