Frame,System,Number
546,MG_15mM_1264_wo_rw_run2,3
547,MG_15mM_1264_wo_rw_run2,1
548,MG_15mM_1264_wo_rw_run2,2
549,MG_15mM_1264_wo_rw_run2,1
550,MG_15mM_1264_wo_rw_run2,1
551,MG_15mM_1264_wo_rw_run2,0
552,MG_15mM_1264_wo_rw_run2,0
553,MG_15mM_1264_wo_rw_run2,0
554,MG_15mM_1264_wo_rw_run2,0
555,MG_15mM_1264_wo_rw_run2,0
556,MG_15mM_1264_wo_rw_run2,0
557,MG_15mM_1264_wo_rw_run2,4
558,MG_15mM_1264_wo_rw_run2,4
559,MG_15mM_1264_wo_rw_run2,0
560,MG_15mM_1264_wo_rw_run2,0
561,MG_15mM_1264_wo_rw_run2,0
562,MG_15mM_1264_wo_rw_run2,0
563,MG_15mM_1264_wo_rw_run2,0
564,MG_15mM_1264_wo_rw_run2,2
565,MG_15mM_1264_wo_rw_run2,5
566,MG_15mM_1264_wo_rw_run2,5
567,MG_15mM_1264_wo_rw_run2,5
568,MG_15mM_1264_wo_rw_run2,5
569,MG_15mM_1264_wo_rw_run2,6
570,MG_15mM_1264_wo_rw_run2,0
571,MG_15mM_1264_wo_rw_run2,0
572,MG_15mM_1264_wo_rw_run2,1
573,MG_15mM_1264_wo_rw_run2,0
574,MG_15mM_1264_wo_rw_run2,0
575,MG_15mM_1264_wo_rw_run2,0
576,MG_15mM_1264_wo_rw_run2,0
577,MG_15mM_1264_wo_rw_run2,0
578,MG_15mM_1264_wo_rw_run2,0
579,MG_15mM_1264_wo_rw_run2,1
580,MG_15mM_1264_wo_rw_run2,1
581,MG_15mM_1264_wo_rw_run2,0
582,MG_15mM_1264_wo_rw_run2,2
583,MG_15mM_1264_wo_rw_run2,3
584,MG_15mM_1264_wo_rw_run2,1
585,MG_15mM_1264_wo_rw_run2,3
586,MG_15mM_1264_wo_rw_run2,0
587,MG_15mM_1264_wo_rw_run2,1
588,MG_15mM_1264_wo_rw_run2,2
589,MG_15mM_1264_wo_rw_run2,2
590,MG_15mM_1264_wo_rw_run2,0
591,MG_15mM_1264_wo_rw_run2,0
592,MG_15mM_1264_wo_rw_run2,0
593,MG_15mM_1264_wo_rw_run2,3
594,MG_15mM_1264_wo_rw_run2,0
595,MG_15mM_1264_wo_rw_run2,1
596,MG_15mM_1264_wo_rw_run2,0
597,MG_15mM_1264_wo_rw_run2,1
598,MG_15mM_1264_wo_rw_run2,1
599,MG_15mM_1264_wo_rw_run2,0
600,MG_15mM_1264_wo_rw_run2,0
601,MG_15mM_1264_wo_rw_run2,0
602,MG_15mM_1264_wo_rw_run2,0
603,MG_15mM_1264_wo_rw_run2,0
604,MG_15mM_1264_wo_rw_run2,0
605,MG_15mM_1264_wo_rw_run2,2
